C0 (334 genes)	C1 (37 genes)	C2 (77 genes)	C3 (284 genes)
MED134_02240		MED134_09961	MED134_02500
MED134_02275		MED134_10141	MED134_02780
MED134_02310		MED134_10336	MED134_02785
MED134_02340		MED134_10371	MED134_02865
MED134_02355		MED134_10376	MED134_02905
MED134_02540		MED134_10565	MED134_03055
MED134_02550		MED134_10570	MED134_03060
MED134_02660		MED134_10615	MED134_03065
MED134_02805		MED134_10875	MED134_03075
MED134_02810		MED134_11025	MED134_03090
MED134_02925		MED134_11311	MED134_03095
MED134_02930		MED134_11501	MED134_03379
MED134_02940		MED134_12011	MED134_03419
MED134_03045		MED134_12021	MED134_03424
MED134_03100		MED134_12081	MED134_03429
MED134_03174		MED134_12351	MED134_03489
MED134_03204		MED134_12421	MED134_03504
MED134_03219		MED134_12601	MED134_03509
MED134_03224		MED134_13426	MED134_03564
MED134_03229		MED134_13896	MED134_03599
MED134_03254		MED134_13961	MED134_03689
MED134_03259		MED134_13966	MED134_03744
MED134_03264		MED134_14156	MED134_03819
MED134_03274		MED134_14241	MED134_03844
MED134_03294		MED134_14361	MED134_03859
MED134_03319		MED134_14366	MED134_03954
MED134_03364		MED134_14421	MED134_04219
MED134_03394		MED134_14471	MED134_04259
MED134_03449		MED134_17141	MED134_04384
MED134_03649			MED134_04389
MED134_03684			MED134_04429
MED134_03714			MED134_04524
MED134_03724			MED134_04534
MED134_03749			MED134_04584
MED134_03759			MED134_04709
MED134_03769			MED134_04769
MED134_03789			MED134_04804
MED134_03794			MED134_04854
MED134_03799			MED134_04944
MED134_03834			MED134_04969
MED134_03874			MED134_04974
MED134_03974			MED134_05039
MED134_03999			MED134_05054
MED134_04039			MED134_05184
MED134_04044			MED134_05284
MED134_04049			MED134_05384
MED134_04079			MED134_05419
MED134_04139			MED134_05429
MED134_04144			MED134_05434
MED134_04199			MED134_05444
MED134_04224			MED134_05449
MED134_04274			MED134_05469
MED134_04289			MED134_05524
MED134_04329			MED134_05529
MED134_04344			MED134_05539
MED134_04374			MED134_05689
MED134_04379			MED134_05724
MED134_04409			MED134_05789
MED134_04414			MED134_05794
MED134_04419			MED134_05804
MED134_04494			MED134_05809
MED134_04499			MED134_05814
MED134_04749			MED134_05914
MED134_04754			MED134_05989
MED134_04759			MED134_06064
MED134_04779			MED134_06079
MED134_04954			MED134_06114
MED134_04959			MED134_06129
MED134_05029			MED134_06204
MED134_05144			MED134_06254
MED134_05149			MED134_06259
MED134_05174			MED134_06269
MED134_05214			MED134_06274
MED134_05219			MED134_06279
MED134_05239			MED134_06284
MED134_05244			MED134_06339
MED134_05249			MED134_06364
MED134_05274			MED134_06544
MED134_05279			MED134_06549
MED134_05294			MED134_06564
MED134_05369			MED134_06604
MED134_05424			MED134_06619
MED134_05484			MED134_06649
MED134_05559			MED134_06884
MED134_05574			MED134_07109
MED134_05589			MED134_07149
MED134_05629			MED134_07154
MED134_05634			MED134_07304
MED134_05669			MED134_07309
MED134_05679			MED134_07314
MED134_05684			MED134_07436
MED134_05694			MED134_07441
MED134_05844			MED134_07456
MED134_05849			MED134_07461
MED134_05859			MED134_07481
MED134_05874			MED134_07486
MED134_05879			MED134_07506
MED134_05884			MED134_07516
MED134_05889			MED134_07521
MED134_05894			MED134_07536
MED134_05899			MED134_07541
MED134_05904			MED134_07551
MED134_05909			MED134_07756
MED134_05934			MED134_07876
MED134_06134			MED134_08071
MED134_06189			MED134_08176
MED134_06289			MED134_08196
MED134_06344			MED134_08211
MED134_06369			MED134_08336
MED134_06414			MED134_08361
MED134_06429			MED134_08366
MED134_06434			MED134_08371
MED134_06459			MED134_08376
MED134_06494			MED134_08386
MED134_06504			MED134_08406
MED134_06589			MED134_08561
MED134_06959			MED134_08681
MED134_06974			MED134_08711
MED134_06989			MED134_08751
MED134_07019			MED134_08871
MED134_07039			MED134_08921
MED134_07044			MED134_08976
MED134_07054			MED134_08991
MED134_07074			MED134_09021
MED134_07129			MED134_09036
MED134_07194			MED134_09166
MED134_07199			MED134_09221
MED134_07219			MED134_09231
MED134_07234			MED134_09356
MED134_07264			MED134_09461
MED134_07269			MED134_09806
MED134_07339			MED134_09876
MED134_07491			MED134_09886
MED134_07581			MED134_09926
MED134_07611			MED134_09931
MED134_07636			MED134_09956
MED134_07716			MED134_10016
MED134_07721			MED134_10021
MED134_07791			MED134_10036
MED134_07801			MED134_10041
MED134_07871			MED134_10061
MED134_07891			MED134_10136
MED134_08006			MED134_10256
MED134_08046			MED134_10321
MED134_08166			MED134_10366
MED134_08216			MED134_10381
MED134_08496			MED134_10386
MED134_08501			MED134_10426
MED134_08506			MED134_10535
MED134_08511			MED134_10540
MED134_08521			MED134_10545
MED134_08536			MED134_10550
MED134_08541			MED134_10735
MED134_08576			MED134_10740
MED134_08581			MED134_10750
MED134_08621			MED134_10755
MED134_08651			MED134_10825
MED134_08656			MED134_10830
MED134_08686			MED134_10855
MED134_08726			MED134_10865
MED134_08811			MED134_10900
MED134_08816			MED134_11175
MED134_08851			MED134_11215
MED134_08856			MED134_11240
MED134_08866			MED134_11245
MED134_08986			MED134_11286
MED134_09101			MED134_11291
MED134_09111			MED134_11346
MED134_09116			MED134_11351
MED134_09126			MED134_11356
MED134_09131			MED134_11421
MED134_09156			MED134_11451
MED134_09161			MED134_11596
MED134_09301			MED134_11601
MED134_09306			MED134_11636
MED134_09336			MED134_11646
MED134_09486			MED134_11816
MED134_09621			MED134_11836
MED134_09641			MED134_11981
MED134_09746			MED134_12016
MED134_09816			MED134_12061
MED134_09891			MED134_12161
MED134_09921			MED134_12191
MED134_09996			MED134_12196
MED134_10071			MED134_12201
MED134_10076			MED134_12256
MED134_10086			MED134_12311
MED134_10091			MED134_12361
MED134_10096			MED134_12366
MED134_10101			MED134_12396
MED134_10106			MED134_12596
MED134_10161			MED134_12631
MED134_10306			MED134_12911
MED134_10346			MED134_12931
MED134_10620			MED134_12936
MED134_10625			MED134_12976
MED134_10630			MED134_12996
MED134_10870			MED134_13011
MED134_10970			MED134_13046
MED134_10975			MED134_13101
MED134_10980			MED134_13111
MED134_10990			MED134_13116
MED134_10995			MED134_13421
MED134_11125			MED134_13451
MED134_11140			MED134_13456
MED134_11165			MED134_13461
MED134_11471			MED134_13536
MED134_11531			MED134_13711
MED134_11591			MED134_13806
MED134_11631			MED134_13826
MED134_11776			MED134_14001
MED134_11786			MED134_14056
MED134_11861			MED134_14061
MED134_11876			MED134_14181
MED134_11881			MED134_14226
MED134_11896			MED134_14246
MED134_12041			MED134_14326
MED134_12046			MED134_14341
MED134_12091			MED134_14381
MED134_12096			MED134_14411
MED134_12146			MED134_14436
MED134_12206			MED134_14441
MED134_12211			MED134_14446
MED134_12216			MED134_14527
MED134_12221			MED134_14532
MED134_12231			MED134_14567
MED134_12236			MED134_14607
MED134_12241			MED134_14612
MED134_12346			MED134_14637
MED134_12516			MED134_14667
MED134_12536			MED134_14692
MED134_12551			MED134_14717
MED134_12556			MED134_14802
MED134_12646			MED134_15094
MED134_12701			MED134_15519
MED134_12746			MED134_17896
MED134_12771			
MED134_12791			
MED134_12796			
MED134_12801			
MED134_12806			
MED134_12811			
MED134_12846			
MED134_12856			
MED134_12861			
MED134_12981			
MED134_13031			
MED134_13051			
MED134_13136			
MED134_13151			
MED134_13161			
MED134_13176			
MED134_13301			
MED134_13391			
MED134_13441			
MED134_13486			
MED134_13491			
MED134_13496			
MED134_13501			
MED134_13506			
MED134_13661			
MED134_13781			
MED134_13816			
MED134_13916			
MED134_13951			
MED134_14126			
MED134_14141			
MED134_14166			
MED134_14176			
MED134_14216			
MED134_14416			
MED134_14507			
MED134_14522			
MED134_14562			
MED134_14582			
MED134_14597			
MED134_14622			
MED134_14627			
MED134_14722			
MED134_14752			
MED134_15304			
MED134_15422			
MED134_15821			
MED134_15830			
MED134_16706			
MED134_17467			
